,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects 
912,6,1,1,1,4,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0,3,1,3,1,1,1
913,7,1,1,1,6,15.51,0.67,1.5,10.34,23.26,0.01,1.29,3,0,2,0,3,3,3,3,1,1
914,14,2,1,1,12,39.86,0.33,3.0,13.29,119.59,0.01,6.64,4,5,3,0,5,5,6,6,3,1
915,5,1,1,1,4,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0,3,1,3,1,1,1
916,63,7,4,5,154,802.26,0.04,26.05,30.79,20900.88,0.27,1161.16,45,7,9,0,18,19,99,55,13,1
917,12,2,1,2,30,125.1,0.21,4.77,26.21,597.06,0.04,33.17,7,1,2,0,7,11,15,15,3,1
918,26,6,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,1
919,46,12,11,8,125,580.48,0.03,32.89,17.65,19091.41,0.19,1060.63,26,16,1,0,16,9,88,37,23,1
920,37,10,9,3,122,625.77,0.05,21.47,29.14,13437.64,0.21,746.54,24,12,1,0,16,19,71,51,19,1
921,24,10,8,2,60,288.44,0.06,16.67,17.31,4807.35,0.1,267.08,20,0,2,0,16,12,35,25,19,1
922,36,6,4,5,101,533.83,0.08,12.04,44.34,6427.26,0.18,357.07,27,3,4,0,14,25,58,43,11,1
923,14,2,1,2,21,79.95,0.15,6.67,11.99,533.03,0.03,29.61,7,1,3,1,8,6,11,10,3,1
924,12,2,1,2,18,64.53,0.25,4.0,16.12,258.12,0.02,14.34,9,0,1,0,6,6,10,8,3,1
925,8,1,1,1,31,118.03,0.17,6.0,19.67,708.17,0.04,39.34,5,0,0,1,7,7,19,12,1,1
926,60,8,4,7,146,801.81,0.05,19.33,41.47,15501.67,0.27,861.2,46,5,7,0,18,27,88,58,15,1
927,41,4,3,3,58,269.34,0.1,10.21,26.37,2751.15,0.09,152.84,20,9,8,2,11,14,32,26,7,1
928,5,1,1,1,14,48.43,0.19,5.25,9.23,254.27,0.02,14.13,3,0,0,0,7,4,8,6,1,1
929,16,2,1,1,41,180.09,0.14,7.13,25.28,1283.11,0.06,71.28,9,1,4,0,9,12,22,19,3,1
930,4,1,1,1,7,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,1
931,24,6,6,2,91,466.76,0.05,21.18,22.04,9884.43,0.16,549.14,18,0,4,0,18,17,51,40,11,1
932,44,5,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,1
933,367,48,7,44,1091,7412.71,0.02,61.38,120.77,454986.89,2.47,25277.05,333,2,30,0,24,87,646,445,95,1
934,29,5,1,3,109,559.09,0.06,16.84,33.2,9416.28,0.19,523.13,23,0,2,2,16,19,69,40,9,1
935,29,5,1,3,124,710.26,0.08,12.11,58.66,8599.93,0.24,477.77,25,0,2,2,16,37,68,56,9,1
936,34,5,1,3,64,297.21,0.08,12.46,23.85,3703.65,0.1,205.76,29,0,3,0,12,13,37,27,9,1
937,49,6,1,4,146,742.77,0.04,24.08,30.85,17885.11,0.25,993.62,39,2,6,0,15,19,85,61,11,1
938,33,4,1,4,79,371.33,0.1,10.31,36.01,3829.39,0.12,212.74,26,1,4,0,10,16,46,33,7,1
939,52,9,9,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,17,1
940,41,5,1,5,112,596.06,0.08,12.92,46.12,7702.88,0.2,427.94,32,0,6,0,14,26,64,48,6,1
941,40,2,1,1,122,604.41,0.08,12.38,48.82,7483.2,0.2,415.73,24,6,6,0,10,21,70,52,3,1
942,31,2,1,1,85,417.09,0.1,10.42,40.02,4346.47,0.14,241.47,19,4,5,0,11,19,49,36,3,1
943,7,1,1,1,6,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,1,0,0,4,2,4,2,1,1
944,44,5,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,1
945,30,4,1,1,54,253.82,0.08,12.0,21.15,3045.88,0.08,169.22,21,2,5,0,13,13,30,24,7,1
946,51,16,9,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,1
947,22,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,1
948,35,3,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,1
949,33,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,1
950,112,48,44,9,406,2378.34,0.02,54.08,43.98,128628.57,0.79,7146.03,82,23,7,0,22,36,229,177,95,1
951,4,1,1,1,7,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,1
952,13,2,1,1,30,125.1,0.35,2.88,43.37,360.86,0.04,20.05,7,0,4,0,5,13,15,15,3,1
953,15,2,1,2,43,204.46,0.15,6.87,29.74,1405.66,0.07,78.09,11,0,2,0,11,16,23,20,3,1
954,12,2,1,2,23,94.01,0.29,3.5,26.86,329.04,0.03,18.28,7,1,2,0,7,10,13,10,3,1
955,115,14,1,7,301,1732.22,0.04,24.68,70.2,42742.56,0.58,2374.59,97,4,8,4,14,40,160,141,27,1
956,10,1,1,1,32,128.0,0.22,4.5,28.44,576.0,0.04,32.0,5,1,2,0,6,10,17,15,1,1
957,44,8,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15,1
958,41,5,1,4,164,872.8,0.05,21.8,40.03,19030.75,0.29,1057.26,32,0,7,0,17,23,105,59,9,1
959,169,21,1,13,534,3413.5,0.02,50.5,67.59,172381.62,1.14,9576.76,139,2,24,1,28,56,332,202,37,1
960,112,18,3,2,312,1733.03,0.02,48.84,35.48,84641.27,0.58,4702.29,95,1,12,0,22,25,201,111,35,1
961,100,6,1,6,270,1594.86,0.04,26.65,59.84,42509.17,0.53,2361.62,73,6,18,0,21,39,171,99,9,1
962,133,10,1,5,255,1416.42,0.03,35.93,39.43,50886.21,0.47,2827.01,79,39,12,0,20,27,158,97,19,1
963,19,2,1,1,60,240.0,0.06,15.43,15.56,3702.86,0.08,205.71,14,0,3,0,9,7,36,24,3,1
964,19,2,1,1,70,280.0,0.04,23.33,12.0,6533.33,0.09,362.96,12,0,4,0,10,6,42,28,3,1
965,28,1,1,1,85,404.17,0.11,9.28,43.55,3751.16,0.13,208.4,17,1,7,0,11,16,58,27,1,1
966,78,13,4,13,396,2466.61,0.03,33.44,73.75,82494.47,0.82,4583.03,67,3,4,1,21,54,224,172,18,1
967,63,5,1,5,186,1002.97,0.05,20.92,47.94,20985.24,0.33,1165.85,48,3,9,0,16,26,118,68,9,1
968,52,4,1,4,167,947.3,0.06,17.75,53.37,16814.49,0.32,934.14,35,0,14,0,17,34,96,71,7,1
969,54,6,1,6,119,653.53,0.05,18.81,34.74,12294.54,0.22,683.03,38,2,10,2,21,24,76,43,8,1
970,96,7,4,3,205,1112.38,0.03,35.22,31.59,39175.27,0.37,2176.4,58,29,6,1,20,23,124,81,13,1
971,123,28,9,3,280,1721.93,0.02,44.72,38.5,77011.02,0.57,4278.39,101,0,20,0,33,38,177,103,46,1
972,86,46,46,18,609,3745.2,0.02,50.51,74.15,189170.61,1.25,10509.48,61,8,6,9,22,49,384,225,91,1
973,122,41,22,1,391,2066.59,0.01,90.18,22.92,186362.34,0.69,10353.46,118,0,1,0,25,14,290,101,67,1
974,17,13,13,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25,1
975,14,2,1,2,29,116.0,0.12,8.36,13.88,969.43,0.04,53.86,8,0,3,0,9,7,16,13,3,1
976,50,15,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,1
977,24,15,13,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,1
978,28,9,9,5,177,915.08,0.03,38.56,23.73,35284.28,0.31,1960.24,24,0,2,0,19,17,108,69,17,1
979,16,3,3,1,30,122.62,0.09,11.0,11.15,1348.86,0.04,74.94,11,0,2,0,11,6,18,12,5,1
980,5,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,1,0,5,2,5,2,1,1
981,18,2,1,2,30,122.62,0.12,8.57,14.31,1051.06,0.04,58.39,13,0,3,0,10,7,18,12,3,1
982,20,10,7,4,74,325.03,0.03,29.0,11.21,9425.91,0.11,523.65,15,0,3,0,14,7,45,29,19,1
983,5,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,1,0,5,2,5,2,1,1
984,60,11,5,3,113,518.1,0.03,34.3,15.1,17770.86,0.17,987.27,37,6,11,3,14,10,64,49,21,1
985,23,8,8,2,87,438.86,0.03,33.0,13.3,14482.46,0.15,804.58,18,0,2,0,22,11,54,33,15,1
986,27,5,5,1,58,265.93,0.05,19.17,13.87,5096.95,0.09,283.16,20,0,4,0,15,9,35,23,9,1
987,69,11,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,1
988,28,9,9,2,118,595.24,0.02,40.25,14.79,23958.35,0.2,1331.02,24,0,2,0,21,12,72,46,17,1
989,14,10,10,2,85,408.63,0.05,21.6,18.92,8826.3,0.14,490.35,9,0,2,1,18,10,61,24,19,1
990,15,10,10,2,86,417.79,0.04,22.8,18.32,9525.53,0.14,529.2,9,0,3,1,19,10,62,24,19,1
991,54,17,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,33,1
992,40,3,1,2,89,482.94,0.08,11.77,41.03,5683.8,0.16,315.77,32,0,4,0,17,26,53,36,4,1
993,78,12,1,7,147,747.86,0.05,20.92,35.75,15645.96,0.25,869.22,55,0,21,0,15,19,94,53,18,1
994,24,2,1,2,59,254.99,0.08,13.0,19.61,3314.92,0.08,184.16,13,4,4,1,10,10,33,26,3,1
995,28,5,1,5,110,497.59,0.07,13.5,36.86,6717.49,0.17,373.19,22,0,3,0,9,14,68,42,9,1
996,24,10,10,10,84,374.59,0.07,15.0,24.97,5618.88,0.12,312.16,19,0,3,0,11,11,54,30,19,1
997,24,5,1,2,54,262.33,0.12,8.53,30.75,2238.01,0.09,124.33,20,0,2,0,13,16,33,21,6,1
998,143,15,1,3,245,1396.61,0.05,21.18,65.95,29575.22,0.47,1643.07,106,1,30,4,18,34,165,80,21,1
999,21,5,1,1,43,188.87,0.18,5.5,34.34,1038.78,0.06,57.71,19,0,0,0,11,10,33,10,6,1
1000,28,13,13,13,110,510.82,0.06,18.0,28.38,9194.84,0.17,510.82,23,0,3,0,12,13,71,39,25,1
1001,24,5,1,2,54,262.33,0.12,8.53,30.75,2238.01,0.09,124.33,20,0,2,0,13,16,33,21,6,1
1002,24,3,1,2,40,166.8,0.12,8.13,20.53,1355.23,0.06,75.29,18,1,3,0,10,8,27,13,5,1
1003,5,1,1,1,8,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2,0,1,0,6,2,6,2,1,1
1004,107,31,1,2,286,1653.47,0.03,38.71,42.71,64005.25,0.55,3555.85,92,0,13,0,24,31,186,100,52,1
1005,30,2,1,2,119,610.38,0.05,19.79,30.84,12079.19,0.2,671.07,27,0,1,0,16,19,72,47,3,1
1006,31,2,1,2,130,666.81,0.05,21.47,31.05,14318.8,0.22,795.49,28,0,1,0,16,19,79,51,3,1
1007,11,2,1,2,17,62.91,0.29,3.5,17.97,220.18,0.02,12.23,7,0,2,0,7,6,11,6,3,1
1008,16,2,1,2,28,118.94,0.19,5.4,22.03,642.29,0.04,35.68,11,0,3,0,9,10,16,12,3,1
1009,22,3,1,3,46,210.91,0.1,10.0,21.09,2109.08,0.07,117.17,17,0,3,0,12,12,26,20,5,1
1010,130,13,1,8,267,1607.97,0.03,35.94,44.74,57786.5,0.54,3210.36,81,25,15,7,25,40,152,115,24,1
1011,121,13,1,8,286,1722.4,0.02,40.33,42.7,69470.02,0.57,3859.45,86,16,15,2,26,39,165,121,23,1
1012,28,3,1,3,66,330.0,0.11,9.0,36.67,2970.0,0.11,165.0,22,0,4,0,12,20,36,30,5,1
1013,71,1,1,1,77,388.42,0.14,7.25,53.57,2816.03,0.13,156.45,30,12,27,0,11,22,48,29,1,1
1014,97,5,1,5,160,883.77,0.07,14.0,63.13,12372.78,0.29,687.38,51,19,25,0,14,32,96,64,9,1
1015,58,9,9,2,139,758.86,0.05,20.9,36.31,15860.19,0.25,881.12,44,7,5,0,19,25,84,55,15,1
1016,18,3,1,2,63,315.0,0.06,17.36,18.15,5467.5,0.11,303.75,15,0,3,0,18,14,36,27,5,1
1017,60,19,5,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,37,1
1018,16,2,1,2,63,302.86,0.1,9.97,30.39,3018.54,0.1,167.7,12,0,2,0,13,15,40,23,3,1
1019,4,1,1,1,7,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,1
1020,87,6,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,1
1021,129,7,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12,1
1022,76,11,8,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,1
1023,83,8,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15,1
1024,125,15,6,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,1
1025,129,16,6,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,1
1026,128,16,6,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,1
1027,129,16,6,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,1
1028,130,17,6,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,33,1
1029,92,8,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15,1
1030,92,22,15,11,403,2671.63,0.03,31.88,83.81,85162.8,0.89,4731.27,79,4,9,0,26,73,224,179,43,1
1031,70,15,12,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,1
1032,90,23,21,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,39,1
1033,68,20,18,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,33,1
1034,89,21,19,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,35,1
1035,97,23,21,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,39,1
1036,83,21,19,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,35,1
1037,27,5,3,3,47,212.61,0.09,11.7,18.17,2487.51,0.07,138.19,22,0,3,0,13,10,29,18,9,1
1038,48,12,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23,1
1039,351,30,25,18,676,4366.58,0.02,48.3,90.41,210905.61,1.46,11716.98,223,107,11,2,23,65,403,273,59,1
1040,48,11,1,11,142,784.35,0.05,20.38,38.48,15988.59,0.26,888.25,43,1,1,1,20,26,89,53,16,1
1041,80,12,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23,1
1042,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1043,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1044,6,2,1,1,22,88.0,0.15,6.6,13.33,580.8,0.03,32.27,4,0,0,0,11,5,16,6,3,1
1045,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1046,6,1,1,1,31,111.13,0.16,6.3,17.64,700.14,0.04,38.9,4,0,0,0,7,5,22,9,1,1
1047,16,4,3,2,32,142.7,0.07,13.93,10.25,1987.63,0.05,110.42,11,0,3,0,15,7,19,13,7,1
1048,4,1,1,1,10,33.22,0.33,3.0,11.07,99.66,0.01,5.54,2,0,0,0,6,4,6,4,1,1
1049,87,4,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,1
1050,77,10,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,1
1051,37,7,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13,1
1052,27,6,4,4,72,356.7,0.06,17.0,20.98,6063.94,0.12,336.89,21,0,4,0,17,14,44,28,11,1
1053,32,6,6,3,107,553.18,0.03,33.0,16.76,18255.01,0.18,1014.17,25,0,5,0,22,14,65,42,11,1
1054,7,1,1,1,31,111.13,0.16,6.3,17.64,700.14,0.04,38.9,4,0,0,0,7,5,22,9,1,1
1055,26,4,3,2,50,235.02,0.1,10.0,23.5,2350.22,0.08,130.57,16,0,5,3,13,13,30,20,7,1
1056,13,3,3,2,35,158.32,0.12,8.18,19.35,1295.38,0.05,71.97,9,0,2,0,12,11,20,15,5,1
1057,23,4,3,2,53,262.57,0.07,14.54,18.06,3817.4,0.09,212.08,16,0,3,2,18,13,32,21,7,1
1058,74,13,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,25,1
1059,34,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,1
1060,28,3,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,1
1061,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1062,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1063,29,4,4,3,63,306.05,0.08,11.79,25.97,3607.05,0.1,200.39,19,4,3,0,15,14,41,22,7,1
1064,24,5,1,5,58,250.67,0.13,7.67,32.7,1921.82,0.08,106.77,21,0,1,0,8,12,35,23,9,1
1065,23,5,1,2,57,276.9,0.14,6.91,40.09,1912.37,0.09,106.24,21,0,0,0,13,16,40,17,6,1
1066,32,6,1,1,54,229.39,0.19,5.31,43.22,1217.52,0.08,67.64,24,0,3,3,6,13,31,23,11,1
1067,87,13,9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23,1
1068,24,6,6,2,73,339.0,0.04,24.89,13.62,8437.37,0.11,468.74,17,0,4,0,16,9,45,28,11,1
1069,21,3,1,1,40,166.8,0.05,18.2,9.16,3035.71,0.06,168.65,16,0,3,0,13,5,26,14,5,1
1070,23,3,1,2,47,209.59,0.05,18.21,11.51,3817.59,0.07,212.09,17,0,4,0,15,7,30,17,5,1
1071,97,27,25,6,364,2113.88,0.02,48.38,43.7,102258.81,0.7,5681.04,85,3,7,0,24,32,235,129,53,1
1072,52,7,1,5,160,845.66,0.03,29.57,28.6,25007.5,0.28,1389.31,46,0,4,0,18,21,91,69,13,1
1073,43,15,11,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,29,1
1074,36,12,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,23,1
1075,126,10,6,5,263,1390.06,0.02,58.95,23.58,81940.43,0.46,4552.25,67,21,30,1,20,19,151,112,19,1
1076,45,11,3,3,105,566.19,0.04,23.33,24.27,13211.18,0.19,733.95,29,7,6,1,24,18,70,35,19,1
1077,11,2,1,2,19,65.73,0.16,6.13,10.73,402.59,0.02,22.37,9,0,0,0,7,4,12,7,3,1
1078,13,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1
1079,4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,1
1080,35,8,8,2,69,331.71,0.04,24.28,13.66,8053.12,0.11,447.4,18,9,5,1,19,9,46,23,15,1
1081,23,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1
1082,24,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1
1083,26,5,1,2,59,307.36,0.11,8.93,34.44,2743.17,0.1,152.4,24,0,0,0,17,20,38,21,6,1
1084,13,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1
1085,33,5,1,2,101,541.11,0.05,19.86,27.24,10748.47,0.18,597.14,25,0,6,0,19,22,55,46,9,1
1086,21,3,1,3,61,249.34,0.08,12.38,20.15,3085.52,0.08,171.42,16,0,3,0,9,8,39,22,5,1
1087,11,1,1,1,36,137.06,0.14,7.0,19.58,959.45,0.05,53.3,6,0,2,1,7,7,22,14,1,1
1088,15,2,1,2,24,96.0,0.17,5.79,16.59,555.43,0.03,30.86,10,0,2,0,9,7,15,9,3,1
1089,38,29,17,14,247,1245.97,0.03,33.8,36.86,42113.63,0.42,2339.65,28,2,5,1,13,20,143,104,57,1
1090,38,29,17,14,247,1245.97,0.03,33.8,36.86,42113.63,0.42,2339.65,28,2,5,1,13,20,143,104,57,1
1091,187,17,15,7,288,1522.2,0.02,50.14,30.36,76327.25,0.51,4240.4,81,24,79,1,18,21,171,117,33,1
1092,34,4,1,4,85,417.09,0.1,9.75,42.78,4066.59,0.14,225.92,27,0,5,0,10,20,46,39,7,1
1093,55,4,1,4,130,737.42,0.13,7.44,99.13,5485.65,0.25,304.76,37,6,10,0,10,41,69,61,7,1
1094,23,3,1,3,96,461.51,0.11,9.0,51.28,4153.55,0.15,230.75,16,0,4,1,8,20,51,45,5,1
1095,23,3,1,3,96,461.51,0.11,9.0,51.28,4153.55,0.15,230.75,17,0,4,0,8,20,51,45,5,1
1096,9,2,1,2,24,96.0,0.18,5.5,17.45,528.0,0.03,29.33,6,0,1,0,8,8,13,11,3,1
1097,102,21,21,17,371,2250.52,0.03,31.5,71.45,70891.35,0.75,3938.41,67,13,15,5,21,46,233,138,41,1
1098,37,3,3,3,118,644.21,0.07,14.17,45.47,9126.35,0.21,507.02,29,1,4,0,17,27,73,45,5,1
1099,39,7,5,5,132,687.65,0.05,20.83,33.02,14320.27,0.23,795.57,25,5,6,0,17,20,83,49,13,1
1100,27,3,1,3,54,264.97,0.11,9.19,28.84,2434.43,0.09,135.25,22,0,2,0,14,16,33,21,5,1
1101,126,9,1,9,366,2096.42,0.03,39.96,52.47,83764.27,0.7,4653.57,94,13,17,0,19,34,223,143,17,1
1102,38,9,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15,1
1103,20,4,1,2,43,185.84,0.1,9.78,19.01,1817.13,0.06,100.95,16,0,2,0,11,9,27,16,7,1
1104,42,6,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,1
1105,66,16,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,1
1106,71,5,1,4,279,1680.24,0.05,21.55,77.97,36210.9,0.56,2011.72,55,0,14,0,16,49,147,132,9,1
1107,28,8,7,1,150,792.81,0.04,25.26,31.38,20028.89,0.26,1112.72,23,0,3,0,20,19,102,48,15,1
1108,36,6,6,3,74,351.86,0.04,22.55,15.61,7932.88,0.12,440.72,27,0,2,0,16,11,43,31,11,1
1109,49,3,1,2,35,136.74,0.12,8.57,15.95,1172.07,0.05,65.11,15,11,21,0,8,7,20,15,5,1
1110,6,1,1,1,11,36.54,0.33,3.0,12.18,109.62,0.01,6.09,2,0,1,0,6,4,7,4,1,1
1111,7,2,1,1,14,48.43,0.28,3.6,13.45,174.36,0.02,9.69,5,0,0,0,6,5,8,6,3,1
1112,92,19,14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,37,1
1113,20,5,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,1
1114,27,3,1,2,151,761.7,0.04,27.76,27.43,21148.47,0.25,1174.92,22,0,3,0,16,17,92,59,5,1
1115,55,6,4,4,158,816.85,0.03,36.14,22.6,29523.23,0.27,1640.18,37,12,3,1,22,14,112,46,10,1
1116,8,1,1,1,15,51.89,0.34,2.92,17.79,151.35,0.02,8.41,5,1,0,0,5,6,8,7,1,1
1117,26,3,1,2,73,350.94,0.06,16.67,21.06,5848.95,0.12,324.94,17,4,3,0,16,12,48,25,5,1
1118,55,4,3,1,188,948.35,0.03,33.41,28.38,31685.92,0.32,1760.33,43,3,7,0,16,17,117,71,7,1
1119,69,2,1,2,586,3973.88,0.12,8.39,473.41,33357.64,1.32,1853.2,62,2,3,0,6,104,295,291,3,1
1120,10,2,1,2,18,62.27,0.4,2.5,24.91,155.67,0.02,8.65,8,0,0,0,5,6,12,6,3,1
1121,52,3,1,3,128,733.17,0.12,8.34,87.9,6115.74,0.24,339.76,21,11,14,4,12,41,71,57,5,1
1122,15,2,1,2,47,206.44,0.14,7.38,27.96,1524.47,0.07,84.69,10,0,3,0,8,13,23,24,3,1
1123,139,12,1,6,485,2853.08,0.02,47.5,60.06,135521.39,0.95,7528.97,97,29,8,3,19,40,285,200,23,1
1124,25,3,1,2,55,237.71,0.11,9.41,25.26,2236.6,0.08,124.26,19,0,4,0,9,11,32,23,5,1
1125,14,1,1,1,74,347.83,0.11,9.38,37.1,3260.93,0.12,181.16,8,0,4,0,10,16,44,30,1,1
1126,8,1,1,1,31,114.71,0.3,3.33,34.41,382.38,0.04,21.24,6,0,0,0,4,9,16,15,1,1
1127,406,33,1,33,1057,6293.59,0.03,33.19,189.65,208853.8,2.1,11602.99,355,20,29,0,8,54,609,448,65,1
1128,92,15,5,12,212,1208.49,0.04,27.87,43.37,33676.68,0.4,1870.93,59,21,10,0,22,30,136,76,29,1
1129,69,9,1,6,208,1106.96,0.03,34.38,32.2,38058.37,0.37,2114.35,50,7,9,1,20,21,135,76,17,1
1130,87,1,1,1,155,959.42,0.45,2.23,429.87,2141.32,0.32,118.96,38,15,32,0,4,69,78,77,1,1
1131,58,1,1,1,118,679.08,0.43,2.32,292.71,1575.46,0.23,87.53,29,5,22,0,4,50,60,58,1,1
1132,64,1,1,1,137,839.71,0.49,2.02,413.59,1704.87,0.28,94.71,36,0,28,0,4,66,70,67,1,1
1133,61,2,1,2,118,685.27,0.25,4.07,168.31,2790.02,0.23,155.0,29,9,21,0,7,49,61,57,3,1
1134,33,7,5,4,102,531.36,0.07,14.0,37.95,7439.1,0.18,413.28,29,0,4,0,14,23,56,46,13,1
1135,8,2,1,2,25,102.19,0.16,6.19,16.52,632.28,0.03,35.13,6,0,0,0,9,8,14,11,3,1
1136,48,9,8,4,147,787.56,0.02,41.65,18.91,32799.55,0.26,1822.2,40,0,8,0,24,17,88,59,17,1
